experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
1,41355.22835,"[-1, 20, 21]",36,Done!,60.77163243,"[-1, 20, 21]",36,Done!,270.9133933,"[-1, 20, 21]",36,Done!,86400.12997,,,ERROR: Runner exceded the timeout limit,0.005839109,"[-1, 20, 21]",36,Done!,40,"[21, 20]",5,6.238801512,35,-1,-1,-1,,-1
2,43866.96434,"[-1, 24]",36,Done!,57.75693274,"[-1, 24]",36,Done!,187.9196754,"[-1, 24]",36,Done!,86400.25483,,,ERROR: Runner exceded the timeout limit,0.004765511,"[-1, 24]",36,Done!,40,[24],4,7.943018551,36,0,0,0,,0
3,453.4427893,"[-1, 4, 33, 36, 1, 14, 8, 31]",33,Done!,47.69511628,"[-1, 19, 9, 20, 21, 3]",33,Done!,196.8331513,"[-1, 9, 33, 36, 39]",33,Done!,86400.13919,,,ERROR: Runner exceded the timeout limit,0.00564146,"[-1, 9, 19, 20]",31,Done!,40,"[0, 9, 4, 21, 20, 8, 31]",9,10.47638409,31,-2,-2,-2,,0
4,396.4607592,"[-1, 10, 3, 16, 29, 1]",36,Done!,51.49512649,"[-1, 10, 34, 25, 4]",36,Done!,215.099529,"[-1, 10, 34, 25, 4]",36,Done!,86400.12906,,,ERROR: Runner exceded the timeout limit,0.005573988,"[-1, 34, 2, 25, 18, 36]",33,Done!,40,"[0, 32, 15, 31, 11, 8]",19,10.93473803,21,-15,-15,-15,,-12
5,4296.803451,"[-1, 27, 22]",34,Done!,44.48751998,"[-1, 27, 22]",34,Done!,188.7451174,"[-1, 27, 22]",34,Done!,86400.48963,,,ERROR: Runner exceded the timeout limit,0.005075932,"[-1, 27, 22]",34,Done!,40,"[31, 0, 20, 13]",8,11.44727543,32,-2,-2,-2,,-2
6,2946.57761,"[-1, 12, 37]",36,Done!,45.8876586,"[-1, 37, 12]",36,Done!,111.0816736,"[-1, 37, 12]",36,Done!,86400.13332,,,ERROR: Runner exceded the timeout limit,0.004713535,"[-1, 37, 12]",36,Done!,40,"[37, 12]",4,11.75120662,36,0,0,0,,0
7,1297.595644,"[-1, 26, 3, 15, 31, 33, 0, 5, 20, 18]",34,Done!,77.70788336,"[-1, 26, 4, 10, 13, 14]",34,Done!,256.9702542,"[-1, 26, 4, 10, 13, 14]",34,Done!,86400.12859,,,ERROR: Runner exceded the timeout limit,0.00535512,"[-1, 4, 10, 13, 14]",29,Done!,40,"[0, 10, 13, 33, 37, 18]",16,11.87674026,24,-10,-10,-10,,-5
8,362.6393008,"[-1, 10, 15, 29, 8]",33,Done!,78.81393909,"[-1, 10, 15, 29, 8]",33,Done!,297.1024005,"[-1, 10, 15, 29, 8]",33,Done!,86400.13274,,,ERROR: Runner exceded the timeout limit,0.004896402,"[-1, 33, 11, 31]",31,Done!,40,"[0, 29, 8, 7, 12, 4]",16,9.547866981,24,-9,-9,-9,,-7
9,471.4655795,"[-1, 25, 14, 30, 39, 4, 1, 21, 3, 38]",33,Done!,77.79763985,"[-1, 25, 14, 30, 39, 21, 1, 4, 38, 3]",33,Done!,244.4975417,"[-1, 25, 14, 30, 39, 4, 1, 21, 3, 38]",33,Done!,86400.12651,,,ERROR: Runner exceded the timeout limit,0.004873991,"[-1, 26, 20, 3, 38]",29,Done!,40,"[25, 14, 7, 4, 1, 17]",10,11.1064697,30,-3,-3,-3,,1
10,434.9110312,"[-1, 10, 16, 9, 35]",36,Done!,51.78449416,"[-1, 24, 12, 35]",36,Done!,268.2683625,"[-1, 10, 16, 9, 35]",36,Done!,86400.13766,,,ERROR: Runner exceded the timeout limit,0.005392551,"[-1, 10, 9, 35]",35,Done!,40,"[19, 9, 0, 20, 34]",8,9.681233918,32,-4,-4,-4,,-3
